scenario_id,outer_id,repeat,fold,candidate_rank,mean_test_r2,std_test_r2,mean_train_r2,std_train_r2,elapsed_grid_seconds_for_outer_fold,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
A_BMP_VS_all_features,1,1,1,159,0.3085059884926951,0.1685153827480763,0.8409577851948647,0.010812268576868582,38.956488847732544,7.0,sqrt,1,5,100
A_BMP_VS_all_features,1,1,1,164,0.30662763910177404,0.16453608253855984,0.841762019839086,0.010519955004405826,38.956488847732544,7.0,sqrt,1,5,150
A_BMP_VS_all_features,1,1,1,199,0.30063093859749557,0.1912569488401608,0.7343595507976618,0.013325969313108645,38.956488847732544,7.0,sqrt,1,10,50
A_BMP_VS_all_features,1,1,1,123,0.31431321565414516,0.1693666770832617,0.7332940045646505,0.018901136520217854,38.956488847732544,7.0,sqrt,1,10,100
A_BMP_VS_all_features,1,1,1,95,0.32074043558799803,0.16908554336588089,0.734794489471437,0.01535411785714328,38.956488847732544,7.0,sqrt,1,10,150
A_BMP_VS_all_features,1,1,1,190,0.302897305637042,0.17182780130751027,0.8208563233926244,0.013867281259935204,38.956488847732544,7.0,sqrt,2,2,50
A_BMP_VS_all_features,1,1,1,165,0.30638869627362825,0.15864387632026974,0.8229709312627108,0.016515143254624255,38.956488847732544,7.0,sqrt,2,2,100
A_BMP_VS_all_features,1,1,1,115,0.316700284611999,0.16105282097270948,0.8231702384142088,0.015144944055142339,38.956488847732544,7.0,sqrt,2,2,150
A_BMP_VS_all_features,1,1,1,185,0.3041179205351091,0.16899213013213096,0.7985426533006421,0.00830389090066881,38.956488847732544,7.0,sqrt,2,5,50
A_BMP_VS_all_features,1,1,1,177,0.3044671949697252,0.1704181133071948,0.8020162269493742,0.013521467079041212,38.956488847732544,7.0,sqrt,2,5,100
A_BMP_VS_all_features,1,1,1,150,0.30984067541249327,0.16947342617260922,0.8029500985032687,0.013200453734149492,38.956488847732544,7.0,sqrt,2,5,150
A_BMP_VS_all_features,1,1,1,176,0.30449214677307634,0.20192695434660862,0.7067763896801589,0.01602750180670876,38.956488847732544,7.0,sqrt,2,10,50
A_BMP_VS_all_features,1,1,1,131,0.312910074574759,0.17764332560119436,0.7087703634495062,0.022504980034719933,38.956488847732544,7.0,sqrt,2,10,100
A_BMP_VS_all_features,1,1,1,161,0.30807441818005615,0.1830276981500417,0.7093658273492249,0.01794418279976579,38.956488847732544,7.0,sqrt,2,10,150
A_BMP_VS_all_features,1,1,1,208,0.2933333195073104,0.16440460011244673,0.6708072377923732,0.025823466377433987,38.956488847732544,7.0,sqrt,4,2,50
A_BMP_VS_all_features,1,1,1,187,0.30338616182181893,0.14474377635188115,0.672736160815412,0.024877463205644004,38.956488847732544,7.0,sqrt,4,2,100
A_BMP_VS_all_features,1,1,1,148,0.30992818373648995,0.1546802200677461,0.674817098441796,0.022248066587351904,38.956488847732544,7.0,sqrt,4,2,150
A_BMP_VS_all_features,1,1,1,208,0.2933333195073104,0.16440460011244673,0.6708072377923732,0.025823466377433987,38.956488847732544,7.0,sqrt,4,5,50
A_BMP_VS_all_features,1,1,1,187,0.30338616182181893,0.14474377635188115,0.672736160815412,0.024877463205644004,38.956488847732544,7.0,sqrt,4,5,100
A_BMP_VS_all_features,1,1,1,148,0.30992818373648995,0.1546802200677461,0.674817098441796,0.022248066587351904,38.956488847732544,7.0,sqrt,4,5,150
A_BMP_VS_all_features,1,1,1,198,0.3017202103397943,0.1595249007806955,0.6549484202989694,0.023728463710858343,38.956488847732544,7.0,sqrt,4,10,50
A_BMP_VS_all_features,1,1,1,156,0.30890166085442206,0.13870603525547592,0.6529482667178297,0.024662720463898405,38.956488847732544,7.0,sqrt,4,10,100
A_BMP_VS_all_features,1,1,1,172,0.30544371280755944,0.1454000284140575,0.6547134137825898,0.02250472994096922,38.956488847732544,7.0,sqrt,4,10,150
